movie_id,name_rus,kp_rating,movie_duration,kp_rating_count,movie_year,imdb_rating,imdb_rating_count,genres,countries,budget,critics_rating,name_eng
7156,Мятеж на Баунти,7.479,178,585.0,1962,7.2,11153.0,"драма, мелодрама, приключения, история",США,$19 000 000,71.0,Mutiny on the Bounty
7159,Молодые львы,7.372,160,427.0,1958,7.3,5355.0,"драма, военный, боевик",США,$3 000 000,80.0,The Young Lions
716,Итальянский для начинающих,7.203,112,541.0,2000,7.1,11196.0,"драма, мелодрама, комедия","Дания, Швеция",$1 000 000,88.0,Italiensk for begyndere
7162,Парни и куколки,6.556,150,352.0,1955,7.3,11506.0,"мюзикл, мелодрама, комедия",США,$5 500 000,90.0,Guys and Dolls
716461,"Достань меня, если сможешь",5.181,92,761.0,2014,4.9,1451.0,"драма, триллер, комедия",США,$5 000 000,0.0,Reach Me
716595,Шеф Адам Джонс,6.659,101,21850.0,2015,6.6,48794.0,"драма, комедия",США,$20 000 000,29.0,Burnt
716769,Загнанные лошади,5.596,101,393.0,2014,5.7,1123.0,"боевик, триллер, драма, криминал, детектив",США,$15 000 000,21.0,Broken Horses
7168,Город и деревня,5.533,100,427.0,2001,4.3,4042.0,"мелодрама, комедия",США,$90 000 000,13.0,Town & Country
716891,Монстры на каникулах 2,7.256,89,30878.0,2015,6.8,41669.0,"мультфильм, фэнтези, комедия, семейный",США,$80 000 000,56.0,Hotel Transylvania 2
7169,Другая сестра,7.499,129,789.0,1999,6.4,10018.0,"драма, мелодрама, комедия",США,$35 000 000,29.0,The Other Sister
717,Чудаки,7.238,87,13339.0,2002,6.6,64684.0,"документальный, комедия",США,$5 000 000,48.0,Jackass: The Movie
717122,Ревность,6.835,77,489.0,2013,6.4,994.0,драма,Франция,$4 000 000,68.0,La jalousie
717310,Ганмен,5.851,116,5635.0,2015,5.8,25196.0,"боевик, триллер, драма, криминал, детектив","США, Испания, Великобритания, Франция",$40 000 000,17.0,The Gunman
717311,Потерянный рай,6.671,119,4135.0,2014,6.6,10176.0,"криминал, триллер, драма","Франция, Испания, Бельгия, Панама",$17 000 000,51.0,Escobar: Paradise Lost
7174,Преступления сердца,6.8,105,100.0,1986,6.4,2768.0,"драма, комедия",США,$20 000 000,81.0,Crimes of the Heart
7176,"Как аукнется, так и откликнется",7.046,124,177.0,1981,7.0,1888.0,драма,США,$12 000 000,89.0,Shoot the Moon
7179,Любовь и смерть,8.071,82,9696.0,1975,7.8,26100.0,"комедия, военный","Франция, США",$3 000 000,100.0,Love and Death
717969,Последний пассажир,5.54,96,393.0,2013,5.6,3122.0,"боевик, триллер, детектив",Великобритания,$2 500 000,84.0,Last Passenger
7183,Подержанные львы,7.768,109,5836.0,2003,7.6,41093.0,"драма, комедия, семейный",США,$30 000 000,59.0,Secondhand Lions
7184,Боги и генералы,6.531,280,336.0,2003,6.3,12966.0,"драма, военный, история",США,$56 000 000,8.0,Gods and Generals
7186,Апостол,6.771,134,159.0,1997,7.2,11403.0,драма,США,$5 000 000,91.0,The Apostle
